,roundTime,rawDate,state,approx_state
63464,9/15/2005 18:00,NA,NA,0
63465,9/15/2005 18:15,NA,NA,0
63466,9/15/2005 18:30,NA,NA,0
63467,9/15/2005 18:45,NA,NA,0
63468,9/15/2005 19:00,NA,NA,0
63469,9/15/2005 19:15,NA,NA,0
63470,9/15/2005 19:30,NA,NA,0
63471,9/15/2005 19:45,NA,NA,0
63472,9/15/2005 20:00,NA,NA,0
63473,9/15/2005 20:15,NA,NA,0
63474,9/15/2005 20:30,NA,NA,0
63475,9/15/2005 20:45,NA,NA,0
63476,9/15/2005 21:00,NA,NA,0
63477,9/15/2005 21:15,NA,NA,0
63478,9/15/2005 21:30,NA,NA,0
63479,9/15/2005 21:45,NA,NA,0
63480,9/15/2005 22:00,NA,NA,0
63481,9/15/2005 22:15,NA,NA,0
63482,9/15/2005 22:30,NA,NA,0
63483,9/15/2005 22:45,NA,NA,0
63484,9/15/2005 23:00,NA,NA,0
